+-------------------------------------------------------+--------------+----------------------------+---------------------------------------------------------------------+---------------------------------------------------------------------+-------------------------------------------------------------------------------------+----------------------------------------------------------------------+-------------------------------------------------------------------------------+--------------------------------------------------------+---------------------------------------------------------+
| Package                                               | Version      | License Information Origin | License Expression                                                  | License Url                                                         | Copyright                                                                           | Authors                                                              | Package Project Url                                                           | Error                                                  | Error Context                                           |
| Microsoft.Extensions.Http.Resilience                  | 9.5.0        | Expression                 | MIT                                                                 | https://licenses.nuget.org/MIT                                      | © Microsoft Corporation. All rights reserved.                                       | Microsoft                                                            | https://dot.net/                                                              |                                                        |                                                         |
| Microsoft.Extensions.Logging.Debug                    | 9.0.5        | Expression                 | MIT                                                                 | https://licenses.nuget.org/MIT                                      | © Microsoft Corporation. All rights reserved.                                       | Microsoft                                                            | https://dot.net/                                                              |                                                        |                                                         |
| Microsoft.Extensions.ServiceDiscovery                 | 9.3.0        | Expression                 | MIT                                                                 | https://licenses.nuget.org/MIT                                      | © Microsoft Corporation. All rights reserved.                                       | Microsoft                                                            | https://github.com/dotnet/aspire                                              |                                                        |                                                         |
| Microsoft.IO.RecyclableMemoryStream                   | 3.0.1        | Expression                 | MIT                                                                 | https://licenses.nuget.org/MIT                                      | © Microsoft Corporation. All rights reserved.                                       | Microsoft                                                            | https://github.com/Microsoft/Microsoft.IO.RecyclableMemoryStream              |                                                        |                                                         |
| Microsoft.Testing.Extensions.CodeCoverage             | 17.14.2      | Unknown                    |                                                                     | https://aka.ms/deprecateLicenseUrl                                  | © Microsoft Corporation. All rights reserved.                                       | Microsoft                                                            | https://github.com/microsoft/codecoverage                                     | Validation for licenses of type File not yet supported | F:\VS Projects\Ogma3\Ogma3.Tests\Ogma3.Tests.csproj     |
|                                                       |              |                            |                                                                     |                                                                     |                                                                                     |                                                                      |                                                                               | Validation for licenses of type File not yet supported | F:\VS Projects\Ogma3\Utils.Tests\Utils.Tests.csproj     |
| Microsoft.Testing.Extensions.TrxReport                | 1.7.0        | Expression                 | MIT                                                                 | https://licenses.nuget.org/MIT                                      | © Microsoft Corporation. All rights reserved.                                       | Microsoft                                                            | https://github.com/microsoft/testfx                                           |                                                        |                                                         |
| Microsoft.VisualStudio.Azure.Containers.Tools.Targets | 1.22.0       | Unknown                    |                                                                     | https://aka.ms/deprecateLicenseUrl                                  | © Microsoft Corporation. All rights reserved.                                       | Microsoft                                                            | https://aka.ms/vscontainertools                                               | Validation for licenses of type File not yet supported | F:\VS Projects\Ogma3\Ogma3\Ogma3.csproj                 |
| Microsoft.VisualStudio.Web.CodeGeneration.Design      | 9.0.0        | Expression                 | MIT                                                                 | https://licenses.nuget.org/MIT                                      | © Microsoft Corporation. All rights reserved.                                       | Microsoft                                                            | https://github.com/dotnet/Scaffolding                                         |                                                        |                                                         |
| MiniProfiler.AspNetCore.Mvc                           | 4.5.4        | Expression                 | MIT                                                                 | https://licenses.nuget.org/MIT                                      |                                                                                     | Nick Craver                                                          | https://miniprofiler.com/                                                     |                                                        |                                                         |
| MiniProfiler.EntityFrameworkCore                      | 4.5.4        | Expression                 | MIT                                                                 | https://licenses.nuget.org/MIT                                      |                                                                                     | Nick Craver                                                          | https://miniprofiler.com/                                                     |                                                        |                                                         |
| NetDevPack.Security.PasswordHasher.Argon2             | 7.1.0        | Expression                 | MIT                                                                 | https://licenses.nuget.org/MIT                                      |                                                                                     | Bruno Brito                                                          |                                                                               |                                                        |                                                         |
| NetEscapades.EnumGenerators                           | 1.0.0-beta08 | Expression                 | MIT                                                                 | https://licenses.nuget.org/MIT                                      | Copyright © AndrewLock                                                              | Andrew Lock                                                          | https://github.com/andrewlock/NetEscapades.EnumGenerators                     |                                                        |                                                         |
| Npgsql.EntityFrameworkCore.PostgreSQL                 | 9.0.4        | Expression                 | PostgreSQL                                                          | https://licenses.nuget.org/PostgreSQL                               | Copyright 2024 © The Npgsql Development Team                                        | Shay Rojansky,Austin Drenski,Yoh Deadfall                            | https://github.com/npgsql/efcore.pg                                           |                                                        |                                                         |
| OpenTelemetry.Exporter.OpenTelemetryProtocol          | 1.12.0       | Expression                 | Apache-2.0                                                          | https://licenses.nuget.org/Apache-2.0                               | Copyright The OpenTelemetry Authors                                                 | OpenTelemetry Authors                                                | https://opentelemetry.io/                                                     |                                                        |                                                         |
| OpenTelemetry.Extensions.Hosting                      | 1.12.0       | Expression                 | Apache-2.0                                                          | https://licenses.nuget.org/Apache-2.0                               | Copyright The OpenTelemetry Authors                                                 | OpenTelemetry Authors                                                | https://opentelemetry.io/                                                     |                                                        |                                                         |
| OpenTelemetry.Instrumentation.AspNetCore              | 1.12.0       | Expression                 | Apache-2.0                                                          | https://licenses.nuget.org/Apache-2.0                               | Copyright The OpenTelemetry Authors                                                 | OpenTelemetry Authors                                                | https://opentelemetry.io/                                                     |                                                        |                                                         |
| OpenTelemetry.Instrumentation.Http                    | 1.12.0       | Expression                 | Apache-2.0                                                          | https://licenses.nuget.org/Apache-2.0                               | Copyright The OpenTelemetry Authors                                                 | OpenTelemetry Authors                                                | https://opentelemetry.io/                                                     |                                                        |                                                         |
| OpenTelemetry.Instrumentation.Runtime                 | 1.12.0       | Expression                 | Apache-2.0                                                          | https://licenses.nuget.org/Apache-2.0                               | Copyright The OpenTelemetry Authors                                                 | OpenTelemetry Authors                                                | https://opentelemetry.io/                                                     |                                                        |                                                         |
